long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
322.42332,-13.00090,     241.89, 376541.32,  3394703.16,1,0, -25605589.43654,1999-03-11T03:19:06.378, 10026
322.42263,-13.00600,     243.57, 376537.34,  3394704.31,1,0, -25605589.33654,1999-03-11T03:19:06.478, 10026
322.42195,-13.01110,     241.97, 376536.67,  3394702.17,1,0, -25605589.23653,1999-03-11T03:19:06.578, 10026
322.42126,-13.01620,     247.28, 376529.06,  3394706.95,1,0, -25605589.13653,1999-03-11T03:19:06.678, 10026
322.42058,-13.02140,     245.64, 376528.38,  3394704.78,1,0, -25605589.03653,1999-03-11T03:19:06.778, 10026
322.41989,-13.02650,     244.97, 376526.76,  3394703.57,1,0, -25605588.93652,1999-03-11T03:19:06.878, 10026
322.41921,-13.03160,     249.36, 376520.09,  3394707.43,1,0, -25605588.83652,1999-03-11T03:19:06.978, 10026
322.41852,-13.03670,     252.73, 376514.41,  3394710.26,1,0, -25605588.73652,1999-03-11T03:19:07.078, 10026
322.41784,-13.04180,     253.50, 376511.33,  3394710.50,1,0, -25605588.63651,1999-03-11T03:19:07.178, 10026
322.41716,-13.04690,     249.96, 376512.59,  3394706.43,1,0, -25605588.53651,1999-03-11T03:19:07.278, 10026
322.41577,-13.05720,     249.91, 376508.07,  3394705.30,1,0, -25605588.33651,1999-03-11T03:19:07.478, 10026
322.41509,-13.06230,     250.33, 376505.34,  3394705.18,1,0, -25605588.23651,1999-03-11T03:19:07.578, 10026
322.41441,-13.06740,     252.02, 376501.37,  3394706.33,1,0, -25605588.13651,1999-03-11T03:19:07.678, 10026
322.41373,-13.07250,     253.08, 376498.04,  3394706.84,1,0, -25605588.03650,1999-03-11T03:19:07.778, 10026
322.41305,-13.07760,     254.94, 376493.88,  3394708.16,1,0, -25605587.93650,1999-03-11T03:19:07.878, 10026
322.41237,-13.08280,     255.00, 376491.52,  3394707.68,1,0, -25605587.83649,1999-03-11T03:19:07.978, 10026
322.41170,-13.08790,     256.79, 376487.44,  3394708.93,1,0, -25605587.73649,1999-03-11T03:19:08.078, 10026
322.41102,-13.09300,     257.15, 376484.82,  3394708.74,1,0, -25605587.63649,1999-03-11T03:19:08.178, 10026
322.41034,-13.09810,     254.01, 376485.67,  3394705.06,1,0, -25605587.53648,1999-03-11T03:19:08.278, 10026
322.40966,-13.10320,     251.85, 376485.51,  3394702.36,1,0, -25605587.43648,1999-03-11T03:19:08.378, 10026
322.40898,-13.10840,     244.65, 376490.43,  3394694.62,1,0, -25605587.33648,1999-03-11T03:19:08.478, 10026
322.40830,-13.11350,     237.43, 376495.38,  3394686.85,1,0, -25605587.23647,1999-03-11T03:19:08.578, 10026
322.40762,-13.11860,     237.81, 376492.71,  3394686.69,1,0, -25605587.13647,1999-03-11T03:19:08.678, 10026
322.40694,-13.12370,     236.71, 376491.51,  3394685.05,1,0, -25605587.03646,1999-03-11T03:19:08.778, 10026
322.40626,-13.12880,     231.27, 376494.68,  3394679.07,1,0, -25605586.93646,1999-03-11T03:19:08.878, 10026
322.40558,-13.13400,     230.61, 376493.07,  3394677.86,1,0, -25605586.83646,1999-03-11T03:19:08.978, 10026
322.40491,-13.13910,     224.56, 376496.80,  3394671.27,1,0, -25605586.73645,1999-03-11T03:19:09.078, 10026
322.40423,-13.14420,     217.69, 376501.39,  3394663.86,1,0, -25605586.63645,1999-03-11T03:19:09.178, 10026
322.40355,-13.14930,     215.17, 376501.61,  3394660.80,1,0, -25605586.53645,1999-03-11T03:19:09.278, 10026
322.40288,-13.15440,     209.81, 376504.70,  3394654.89,1,0, -25605586.43644,1999-03-11T03:19:09.378, 10026
322.40220,-13.15960,     204.16, 376508.07,  3394648.68,1,0, -25605586.33644,1999-03-11T03:19:09.478, 10026
322.40152,-13.16470,     203.83, 376506.12,  3394647.81,1,0, -25605586.23643,1999-03-11T03:19:09.578, 10026
322.40085,-13.16980,     201.90, 376505.80,  3394645.32,1,0, -25605586.13643,1999-03-11T03:19:09.678, 10026
322.40017,-13.17490,     201.76, 376503.65,  3394644.63,1,0, -25605586.03643,1999-03-11T03:19:09.778, 10026
322.39949,-13.18000,     201.39, 376501.73,  3394643.71,1,0, -25605585.93642,1999-03-11T03:19:09.878, 10026
322.39881,-13.18520,     199.88, 376500.97,  3394641.65,1,0, -25605585.83642,1999-03-11T03:19:09.978, 10026
322.39814,-13.19030,     199.14, 376499.44,  3394640.36,1,0, -25605585.73641,1999-03-11T03:19:10.078, 10026
322.39746,-13.19540,     199.87, 376496.41,  3394640.54,1,0, -25605585.63641,1999-03-11T03:19:10.178, 10026
322.39678,-13.20050,     197.92, 376496.08,  3394638.04,1,0, -25605585.53641,1999-03-11T03:19:10.278, 10026
322.39610,-13.20570,     200.15, 376491.60,  3394639.72,1,0, -25605585.43640,1999-03-11T03:19:10.378, 10026
322.39542,-13.21080,     206.42, 376483.04,  3394645.44,1,0, -25605585.33640,1999-03-11T03:19:10.478, 10026
322.39407,-13.22100,     230.06, 376454.83,  3394667.98,1,0, -25605585.13639,1999-03-11T03:19:10.678, 10026
322.39339,-13.22610,     235.56, 376447.05,  3394672.93,1,0, -25605585.03639,1999-03-11T03:19:10.778, 10026
322.39271,-13.23130,     234.06, 376446.28,  3394670.89,1,0, -25605584.93638,1999-03-11T03:19:10.878, 10026
322.39204,-13.23640,     229.61, 376448.44,  3394665.88,1,0, -25605584.83638,1999-03-11T03:19:10.978, 10026
322.39136,-13.24150,     226.60, 376449.18,  3394662.32,1,0, -25605584.73638,1999-03-11T03:19:11.078, 10026
322.39068,-13.24660,     225.02, 376448.46,  3394660.20,1,0, -25605584.63637,1999-03-11T03:19:11.178, 10026
322.39000,-13.25170,     217.57, 376453.65,  3394652.19,1,0, -25605584.53637,1999-03-11T03:19:11.278, 10026
322.38933,-13.25690,     208.51, 376460.43,  3394642.59,1,0, -25605584.43637,1999-03-11T03:19:11.378, 10026
322.38865,-13.26200,     203.60, 376463.09,  3394637.12,1,0, -25605584.33636,1999-03-11T03:19:11.478, 10026
322.38797,-13.26710,     201.04, 376463.36,  3394634.00,1,0, -25605584.23636,1999-03-11T03:19:11.578, 10026
322.38729,-13.27220,     195.68, 376466.46,  3394628.08,1,0, -25605584.13635,1999-03-11T03:19:11.678, 10026
322.38661,-13.27740,     191.13, 376468.72,  3394622.98,1,0, -25605584.03635,1999-03-11T03:19:11.778, 10026
322.38593,-13.28250,     191.49, 376466.10,  3394622.78,1,0, -25605583.93635,1999-03-11T03:19:11.878, 10026
322.38525,-13.28760,     191.52, 376463.79,  3394622.25,1,0, -25605583.83634,1999-03-11T03:19:11.978, 10026
322.38458,-13.29270,     192.24, 376460.82,  3394622.41,1,0, -25605583.73634,1999-03-11T03:19:12.078, 10026
322.38390,-13.29780,     191.76, 376459.01,  3394621.38,1,0, -25605583.63634,1999-03-11T03:19:12.178, 10026
322.38322,-13.30290,     191.15, 376457.36,  3394620.21,1,0, -25605583.53633,1999-03-11T03:19:12.278, 10026
322.38254,-13.30800,     188.79, 376457.45,  3394617.29,1,0, -25605583.43633,1999-03-11T03:19:12.378, 10026
322.38186,-13.31310,     189.16, 376454.83,  3394617.10,1,0, -25605583.33632,1999-03-11T03:19:12.478, 10026
322.38118,-13.31830,     190.97, 376450.73,  3394618.36,1,0, -25605583.23632,1999-03-11T03:19:12.578, 10026
322.38050,-13.32340,     197.32, 376442.11,  3394624.15,1,0, -25605583.13632,1999-03-11T03:19:12.678, 10026
322.37982,-13.32850,     205.11, 376432.06,  3394631.38,1,0, -25605583.03631,1999-03-11T03:19:12.778, 10026
322.37914,-13.33360,     213.07, 376421.85,  3394638.78,1,0, -25605582.93631,1999-03-11T03:19:12.878, 10026
322.37846,-13.33870,     221.33, 376411.29,  3394646.49,1,0, -25605582.83631,1999-03-11T03:19:12.978, 10026
322.37779,-13.34380,     217.97, 376412.39,  3394642.57,1,0, -25605582.73630,1999-03-11T03:19:13.078, 10026
322.37711,-13.34890,     214.02, 376414.07,  3394638.06,1,0, -25605582.63630,1999-03-11T03:19:13.178, 10026
322.37643,-13.35400,     214.75, 376411.09,  3394638.23,1,0, -25605582.53629,1999-03-11T03:19:13.278, 10026
322.37575,-13.35910,     219.64, 376403.94,  3394642.56,1,0, -25605582.43629,1999-03-11T03:19:13.378, 10026
322.37507,-13.36420,     211.44, 376409.86,  3394633.80,1,0, -25605582.33629,1999-03-11T03:19:13.478, 10026
322.37439,-13.36930,     204.27, 376414.76,  3394626.06,1,0, -25605582.23628,1999-03-11T03:19:13.578, 10026
322.37371,-13.37450,     194.86, 376421.92,  3394616.09,1,0, -25605582.13628,1999-03-11T03:19:13.678, 10026
322.37303,-13.37960,     188.49, 376426.03,  3394609.15,1,0, -25605582.03627,1999-03-11T03:19:13.778, 10026
322.37235,-13.38470,     185.47, 376426.78,  3394605.57,1,0, -25605581.93627,1999-03-11T03:19:13.878, 10026
322.37167,-13.38980,     187.27, 376422.73,  3394606.81,1,0, -25605581.83627,1999-03-11T03:19:13.978, 10026
322.37099,-13.39490,     188.38, 376419.35,  3394607.35,1,0, -25605581.73626,1999-03-11T03:19:14.078, 10026
322.37031,-13.40000,     192.11, 376413.35,  3394610.52,1,0, -25605581.63626,1999-03-11T03:19:14.178, 10026
322.36963,-13.40510,     197.07, 376406.14,  3394614.91,1,0, -25605581.53626,1999-03-11T03:19:14.278, 10026
322.36895,-13.41020,     203.45, 376397.51,  3394620.73,1,0, -25605581.43625,1999-03-11T03:19:14.378, 10026
322.36827,-13.41530,     202.98, 376395.72,  3394619.69,1,0, -25605581.33625,1999-03-11T03:19:14.478, 10026
322.36759,-13.42040,     207.55, 376388.87,  3394623.70,1,0, -25605581.23624,1999-03-11T03:19:14.578, 10026
322.36691,-13.42560,     206.71, 376387.46,  3394622.29,1,0, -25605581.13624,1999-03-11T03:19:14.678, 10026
322.36623,-13.43070,     204.22, 376387.69,  3394619.24,1,0, -25605581.03624,1999-03-11T03:19:14.778, 10026
322.36555,-13.43580,     202.58, 376387.06,  3394617.04,1,0, -25605580.93623,1999-03-11T03:19:14.878, 10026
322.36487,-13.44090,     199.92, 376387.46,  3394613.81,1,0, -25605580.83623,1999-03-11T03:19:14.978, 10026
322.36419,-13.44600,     198.03, 376387.09,  3394611.36,1,0, -25605580.73623,1999-03-11T03:19:15.078, 10026
322.36351,-13.45110,     195.43, 376387.45,  3394608.19,1,0, -25605580.63622,1999-03-11T03:19:15.178, 10026
322.36283,-13.45620,     197.23, 376383.37,  3394609.43,1,0, -25605580.53622,1999-03-11T03:19:15.278, 10026
322.36215,-13.46130,     195.11, 376383.23,  3394606.75,1,0, -25605580.43621,1999-03-11T03:19:15.378, 10026
322.36147,-13.46640,     192.41, 376383.68,  3394603.48,1,0, -25605580.33621,1999-03-11T03:19:15.478, 10026
322.36080,-13.47150,     186.73, 376387.11,  3394597.23,1,0, -25605580.23621,1999-03-11T03:19:15.578, 10026
322.36012,-13.47660,     186.79, 376384.79,  3394596.71,1,0, -25605580.13620,1999-03-11T03:19:15.678, 10026
322.35944,-13.48180,     184.85, 376384.47,  3394594.20,1,0, -25605580.03620,1999-03-11T03:19:15.778, 10026
322.35876,-13.48690,     182.64, 376384.44,  3394591.41,1,0, -25605579.93619,1999-03-11T03:19:15.878, 10026
322.35808,-13.49200,     186.38, 376378.46,  3394594.58,1,0, -25605579.83619,1999-03-11T03:19:15.978, 10026
322.35740,-13.49710,     185.63, 376376.96,  3394593.25,1,0, -25605579.73619,1999-03-11T03:19:16.078, 10026
322.35672,-13.50230,     182.73, 376377.59,  3394589.78,1,0, -25605579.63618,1999-03-11T03:19:16.178, 10026
322.35605,-13.50740,     180.40, 376377.68,  3394586.88,1,0, -25605579.53618,1999-03-11T03:19:16.278, 10026
322.35537,-13.51250,     177.11, 376378.70,  3394583.01,1,0, -25605579.43618,1999-03-11T03:19:16.378, 10026
322.35469,-13.51760,     170.61, 376382.96,  3394575.94,1,0, -25605579.33617,1999-03-11T03:19:16.478, 10026
322.35401,-13.52270,     166.83, 376384.47,  3394571.59,1,0, -25605579.23617,1999-03-11T03:19:16.578, 10026
322.35333,-13.52790,     161.61, 376387.44,  3394565.79,1,0, -25605579.13616,1999-03-11T03:19:16.678, 10026
322.35265,-13.53300,     159.70, 376387.11,  3394563.31,1,0, -25605579.03616,1999-03-11T03:19:16.778, 10026
322.35198,-13.53810,     156.76, 376387.79,  3394559.79,1,0, -25605578.93616,1999-03-11T03:19:16.878, 10026
322.35130,-13.54320,     153.41, 376388.88,  3394555.87,1,0, -25605578.83615,1999-03-11T03:19:16.978, 10026
322.35062,-13.54840,     158.00, 376382.04,  3394559.88,1,0, -25605578.73615,1999-03-11T03:19:17.078, 10026
322.34994,-13.55350,     151.47, 376386.33,  3394552.78,1,0, -25605578.63615,1999-03-11T03:19:17.178, 10026
322.34926,-13.55860,     148.81, 376386.74,  3394549.55,1,0, -25605578.53614,1999-03-11T03:19:17.278, 10026
322.34859,-13.56380,     148.15, 376385.15,  3394548.30,1,0, -25605578.43614,1999-03-11T03:19:17.378, 10026
322.34791,-13.56890,     146.01, 376385.03,  3394545.58,1,0, -25605578.33613,1999-03-11T03:19:17.478, 10026
322.34723,-13.57400,     141.12, 376387.68,  3394540.11,1,0, -25605578.23613,1999-03-11T03:19:17.578, 10026
322.34655,-13.57920,     138.08, 376388.48,  3394536.49,1,0, -25605578.13613,1999-03-11T03:19:17.678, 10026
322.34587,-13.58430,     136.18, 376388.15,  3394534.00,1,0, -25605578.03612,1999-03-11T03:19:17.778, 10026
322.34520,-13.58940,     136.92, 376385.15,  3394534.16,1,0, -25605577.93612,1999-03-11T03:19:17.878, 10026
322.34452,-13.59450,     141.39, 376378.45,  3394538.05,1,0, -25605577.83612,1999-03-11T03:19:17.978, 10026
322.34384,-13.59970,     141.80, 376375.78,  3394537.88,1,0, -25605577.73611,1999-03-11T03:19:18.078, 10026
322.34316,-13.60480,     141.41, 376373.96,  3394536.90,1,0, -25605577.63611,1999-03-11T03:19:18.178, 10026
322.34248,-13.60990,     141.51, 376371.59,  3394536.42,1,0, -25605577.53610,1999-03-11T03:19:18.278, 10026
322.34180,-13.61510,     140.69, 376370.18,  3394535.02,1,0, -25605577.43610,1999-03-11T03:19:18.378, 10026
322.34113,-13.62020,     142.54, 376366.07,  3394536.29,1,0, -25605577.33610,1999-03-11T03:19:18.478, 10026
322.34045,-13.62530,     139.58, 376366.79,  3394532.74,1,0, -25605577.23609,1999-03-11T03:19:18.578, 10026
322.33841,-13.64070,     139.87, 376359.78,  3394531.29,1,0, -25605576.93608,1999-03-11T03:19:18.878, 10026
322.33774,-13.64580,     135.89, 376361.50,  3394526.72,1,0, -25605576.83608,1999-03-11T03:19:18.978, 10026
322.33706,-13.65100,     136.26, 376358.89,  3394526.51,1,0, -25605576.73607,1999-03-11T03:19:19.078, 10026
322.33638,-13.65610,     139.67, 376353.23,  3394529.34,1,0, -25605576.63607,1999-03-11T03:19:19.178, 10026
322.33570,-13.66120,     138.95, 376351.71,  3394528.04,1,0, -25605576.53607,1999-03-11T03:19:19.278, 10026
322.33503,-13.66640,     138.03, 376350.39,  3394526.53,1,0, -25605576.43606,1999-03-11T03:19:19.378, 10026
322.33435,-13.67150,     138.14, 376348.07,  3394526.05,1,0, -25605576.33606,1999-03-11T03:19:19.478, 10026
322.33367,-13.67670,     138.14, 376345.80,  3394525.46,1,0, -25605576.23606,1999-03-11T03:19:19.578, 10026
322.33299,-13.68180,     141.53, 376340.20,  3394528.27,1,0, -25605576.13605,1999-03-11T03:19:19.678, 10026
322.33231,-13.68690,     149.37, 376330.10,  3394535.52,1,0, -25605576.03605,1999-03-11T03:19:19.778, 10026
322.33163,-13.69200,     153.62, 376323.62,  3394539.18,1,0, -25605575.93604,1999-03-11T03:19:19.878, 10026
322.33095,-13.69710,     153.53, 376321.47,  3394538.50,1,0, -25605575.83604,1999-03-11T03:19:19.978, 10026
322.33027,-13.70220,     151.99, 376320.80,  3394536.37,1,0, -25605575.73604,1999-03-11T03:19:20.078, 10026
322.32959,-13.70730,     151.37, 376319.18,  3394535.16,1,0, -25605575.63603,1999-03-11T03:19:20.178, 10026
322.32891,-13.71250,     147.23, 376321.08,  3394530.43,1,0, -25605575.53603,1999-03-11T03:19:20.278, 10026
322.32823,-13.71760,     132.60, 376333.47,  3394515.22,1,0, -25605575.43603,1999-03-11T03:19:20.378, 10026
322.32755,-13.72270,     117.31, 376346.54,  3394499.34,1,0, -25605575.33602,1999-03-11T03:19:20.478, 10026
322.32687,-13.72780,      97.09, 376364.50,  3394478.53,1,0, -25605575.23602,1999-03-11T03:19:20.578, 10026
322.32619,-13.73290,      88.94, 376370.42,  3394469.79,1,0, -25605575.13601,1999-03-11T03:19:20.678, 10026
322.32551,-13.73800,      70.93, 376386.20,  3394451.19,1,0, -25605575.03601,1999-03-11T03:19:20.778, 10026
322.32483,-13.74310,      64.21, 376390.68,  3394443.88,1,0, -25605574.93601,1999-03-11T03:19:20.878, 10026
322.32415,-13.74830,      64.55, 376388.14,  3394443.63,1,0, -25605574.83600,1999-03-11T03:19:20.978, 10026
322.32347,-13.75340,      68.27, 376382.16,  3394446.77,1,0, -25605574.73600,1999-03-11T03:19:21.078, 10026
322.32279,-13.75850,      72.40, 376375.79,  3394450.31,1,0, -25605574.63600,1999-03-11T03:19:21.178, 10026
322.32211,-13.76360,      97.50, 376348.47,  3394474.82,1,0, -25605574.53599,1999-03-11T03:19:21.278, 10026
322.32075,-13.77380,     136.24, 376305.27,  3394512.37,1,0, -25605574.33598,1999-03-11T03:19:21.479, 10026
322.32006,-13.77890,     139.64, 376299.63,  3394515.18,1,0, -25605574.23598,1999-03-11T03:19:21.579, 10026
322.31938,-13.78400,     140.25, 376296.82,  3394515.19,1,0, -25605574.13597,1999-03-11T03:19:21.679, 10026
322.31870,-13.78910,     142.27, 376292.54,  3394516.62,1,0, -25605574.03597,1999-03-11T03:19:21.779, 10026
322.31802,-13.79420,     143.12, 376289.47,  3394516.87,1,0, -25605573.93596,1999-03-11T03:19:21.879, 10026
322.31734,-13.79930,     145.28, 376285.11,  3394518.43,1,0, -25605573.83596,1999-03-11T03:19:21.979, 10026
322.31666,-13.80450,     146.33, 376281.83,  3394518.89,1,0, -25605573.73596,1999-03-11T03:19:22.079, 10026
322.31598,-13.80960,     147.91, 376278.02,  3394519.87,1,0, -25605573.63595,1999-03-11T03:19:22.179, 10026
322.31530,-13.81470,     149.49, 376274.21,  3394520.86,1,0, -25605573.53595,1999-03-11T03:19:22.279, 10026
322.31462,-13.81980,     149.52, 376271.95,  3394520.29,1,0, -25605573.43595,1999-03-11T03:19:22.379, 10026
322.31394,-13.82490,     146.08, 376273.16,  3394516.26,1,0, -25605573.33594,1999-03-11T03:19:22.479, 10026
322.31326,-13.83000,     147.63, 376269.40,  3394517.21,1,0, -25605573.23594,1999-03-11T03:19:22.579, 10026
322.31258,-13.83510,     149.92, 376264.86,  3394518.91,1,0, -25605573.13593,1999-03-11T03:19:22.679, 10026
322.31190,-13.84020,     146.26, 376266.30,  3394514.65,1,0, -25605573.03593,1999-03-11T03:19:22.779, 10026
322.31122,-13.84530,     145.49, 376264.86,  3394513.28,1,0, -25605572.93593,1999-03-11T03:19:22.879, 10026
322.31054,-13.85040,     143.59, 376264.53,  3394510.79,1,0, -25605572.83592,1999-03-11T03:19:22.979, 10026
322.30986,-13.85560,     145.10, 376260.81,  3394511.70,1,0, -25605572.73592,1999-03-11T03:19:23.079, 10026
322.30917,-13.86070,     144.42, 376259.24,  3394510.43,1,0, -25605572.63592,1999-03-11T03:19:23.179, 10026
322.30849,-13.86580,     144.86, 376256.58,  3394510.27,1,0, -25605572.53591,1999-03-11T03:19:23.279, 10026
322.30781,-13.87090,     146.69, 376252.54,  3394511.51,1,0, -25605572.43591,1999-03-11T03:19:23.379, 10026
322.30713,-13.87600,     150.11, 376246.87,  3394514.33,1,0, -25605572.33590,1999-03-11T03:19:23.479, 10026
322.30645,-13.88110,     152.80, 376241.97,  3394516.41,1,0, -25605572.23590,1999-03-11T03:19:23.579, 10026
322.30577,-13.88620,     153.96, 376238.60,  3394516.97,1,0, -25605572.13590,1999-03-11T03:19:23.679, 10026
322.30509,-13.89130,     155.56, 376234.79,  3394517.96,1,0, -25605572.03589,1999-03-11T03:19:23.779, 10026
322.30441,-13.89640,     162.96, 376225.16,  3394524.76,1,0, -25605571.93589,1999-03-11T03:19:23.879, 10026
322.30373,-13.90160,     168.38, 376217.52,  3394529.58,1,0, -25605571.83589,1999-03-11T03:19:23.979, 10026
322.30305,-13.90670,     166.42, 376217.26,  3394527.01,1,0, -25605571.73588,1999-03-11T03:19:24.079, 10026
322.30237,-13.91180,     160.85, 376220.63,  3394520.84,1,0, -25605571.63588,1999-03-11T03:19:24.179, 10026
322.30169,-13.91690,     158.66, 376220.59,  3394518.04,1,0, -25605571.53587,1999-03-11T03:19:24.279, 10026
322.30101,-13.92200,     165.05, 376211.99,  3394523.83,1,0, -25605571.43587,1999-03-11T03:19:24.379, 10026
322.30033,-13.92720,     171.48, 376203.34,  3394529.65,1,0, -25605571.33587,1999-03-11T03:19:24.479, 10026
322.29965,-13.93230,     173.32, 376199.29,  3394530.89,1,0, -25605571.23586,1999-03-11T03:19:24.579, 10026
322.29897,-13.93740,     181.88, 376188.50,  3394538.84,1,0, -25605571.13586,1999-03-11T03:19:24.679, 10026
322.29829,-13.94250,     205.71, 376162.46,  3394562.07,1,0, -25605571.03586,1999-03-11T03:19:24.779, 10026
322.29761,-13.94760,     204.23, 376161.72,  3394559.99,1,0, -25605570.93585,1999-03-11T03:19:24.879, 10026
322.29694,-13.95280,     183.51, 376180.22,  3394538.66,1,0, -25605570.83585,1999-03-11T03:19:24.979, 10026
322.29626,-13.95790,     165.24, 376196.29,  3394519.79,1,0, -25605570.73584,1999-03-11T03:19:25.079, 10026
322.29558,-13.96300,     144.25, 376215.06,  3394498.19,1,0, -25605570.63584,1999-03-11T03:19:25.179, 10026
322.29490,-13.96810,     132.75, 376224.33,  3394486.09,1,0, -25605570.53584,1999-03-11T03:19:25.279, 10026
322.29422,-13.97320,     130.55, 376224.31,  3394483.28,1,0, -25605570.43583,1999-03-11T03:19:25.379, 10026
322.29354,-13.97840,     133.11, 376219.56,  3394485.23,1,0, -25605570.33583,1999-03-11T03:19:25.479, 10026
322.29286,-13.98350,     132.85, 376217.60,  3394484.35,1,0, -25605570.23583,1999-03-11T03:19:25.579, 10026
322.29218,-13.98860,     131.66, 376216.58,  3394482.55,1,0, -25605570.13582,1999-03-11T03:19:25.679, 10026
322.29150,-13.99370,     130.27, 376215.78,  3394480.55,1,0, -25605570.03582,1999-03-11T03:19:25.779, 10026
322.29082,-13.99890,     132.55, 376211.28,  3394482.22,1,0, -25605569.93581,1999-03-11T03:19:25.879, 10026
322.29014,-14.00400,     125.79, 376215.84,  3394474.84,1,0, -25605569.83581,1999-03-11T03:19:25.979, 10026
322.28946,-14.00910,     130.06, 376209.33,  3394478.50,1,0, -25605569.73581,1999-03-11T03:19:26.079, 10026
322.28878,-14.01420,     123.28, 376213.92,  3394471.11,1,0, -25605569.63580,1999-03-11T03:19:26.179, 10026
322.28810,-14.01940,     122.66, 376212.32,  3394469.88,1,0, -25605569.53580,1999-03-11T03:19:26.279, 10026
322.28742,-14.02450,     122.95, 376209.85,  3394469.55,1,0, -25605569.43580,1999-03-11T03:19:26.379, 10026
322.28674,-14.02960,     117.14, 376213.43,  3394463.13,1,0, -25605569.33579,1999-03-11T03:19:26.479, 10026
322.28606,-14.03470,     119.02, 376209.34,  3394464.40,1,0, -25605569.23579,1999-03-11T03:19:26.579, 10026
322.28471,-14.04500,     115.35, 376208.60,  3394459.50,1,0, -25605569.03578,1999-03-11T03:19:26.779, 10026
322.28403,-14.05010,     125.12, 376196.61,  3394468.66,1,0, -25605568.93578,1999-03-11T03:19:26.879, 10026
322.28335,-14.05520,      79.40, 376240.14,  3394422.33,1,0, -25605568.83577,1999-03-11T03:19:26.979, 10026
322.28267,-14.06030,      43.80, 376273.51,  3394386.12,1,0, -25605568.73577,1999-03-11T03:19:27.079, 10026
322.28199,-14.06550,     101.31, 376213.80,  3394443.01,1,0, -25605568.63577,1999-03-11T03:19:27.179, 10026
322.28131,-14.07060,     107.66, 376205.26,  3394448.75,1,0, -25605568.53576,1999-03-11T03:19:27.279, 10026
322.28065,-14.07570,      93.78, 376216.91,  3394434.26,1,0, -25605568.43576,1999-03-11T03:19:27.379, 10026
322.27997,-14.08080,      92.30, 376216.19,  3394432.16,1,0, -25605568.33575,1999-03-11T03:19:27.479, 10026
322.27928,-14.08600,      92.03, 376214.28,  3394431.27,1,0, -25605568.23575,1999-03-11T03:19:27.579, 10026
322.27859,-14.09110,      92.85, 376211.25,  3394431.47,1,0, -25605568.13575,1999-03-11T03:19:27.679, 10026
322.27791,-14.09620,     102.36, 376199.53,  3394440.36,1,0, -25605568.03574,1999-03-11T03:19:27.779, 10026
322.27722,-14.10130,     110.11, 376189.59,  3394447.49,1,0, -25605567.93574,1999-03-11T03:19:27.879, 10026
322.27654,-14.10640,     112.05, 376185.45,  3394448.81,1,0, -25605567.83573,1999-03-11T03:19:27.979, 10026
322.27585,-14.11150,     117.38, 376177.91,  3394453.52,1,0, -25605567.73573,1999-03-11T03:19:28.079, 10026
322.27516,-14.11670,     126.08, 376167.01,  3394461.60,1,0, -25605567.63573,1999-03-11T03:19:28.179, 10026
322.27448,-14.12180,     131.28, 376159.61,  3394466.18,1,0, -25605567.53572,1999-03-11T03:19:28.279, 10026
322.27379,-14.12690,     135.46, 376153.25,  3394469.74,1,0, -25605567.43572,1999-03-11T03:19:28.379, 10026
322.27311,-14.13200,     132.56, 376153.92,  3394466.22,1,0, -25605567.33572,1999-03-11T03:19:28.479, 10026
322.27242,-14.13710,     118.84, 376165.45,  3394451.88,1,0, -25605567.23571,1999-03-11T03:19:28.579, 10026
322.27173,-14.14230,     101.15, 376180.94,  3394433.57,1,0, -25605567.13571,1999-03-11T03:19:28.679, 10026
322.27105,-14.14740,      83.74, 376196.15,  3394415.54,1,0, -25605567.03570,1999-03-11T03:19:28.779, 10026
322.27036,-14.15250,      77.72, 376199.99,  3394408.90,1,0, -25605566.93570,1999-03-11T03:19:28.879, 10026
322.26968,-14.15760,      77.66, 376197.84,  3394408.22,1,0, -25605566.83570,1999-03-11T03:19:28.979, 10026
322.26899,-14.16270,      83.71, 376189.58,  3394413.65,1,0, -25605566.73569,1999-03-11T03:19:29.079, 10026
322.26830,-14.16780,      94.76, 376176.34,  3394424.08,1,0, -25605566.63569,1999-03-11T03:19:29.179, 10026
322.26762,-14.17300,      78.62, 376190.29,  3394407.32,1,0, -25605566.53569,1999-03-11T03:19:29.279, 10026
322.26692,-14.17810,      76.45, 376190.26,  3394404.53,1,0, -25605566.43568,1999-03-11T03:19:29.379, 10026
322.26623,-14.18320,      81.34, 376183.18,  3394408.80,1,0, -25605566.33568,1999-03-11T03:19:29.479, 10026
322.26554,-14.18830,      80.68, 376181.63,  3394407.51,1,0, -25605566.23567,1999-03-11T03:19:29.579, 10026
322.26486,-14.19340,      65.69, 376194.45,  3394391.89,1,0, -25605566.13567,1999-03-11T03:19:29.679, 10026
322.26417,-14.19850,      64.32, 376193.61,  3394389.90,1,0, -25605566.03567,1999-03-11T03:19:29.779, 10026
322.26348,-14.20360,      63.29, 376192.44,  3394388.24,1,0, -25605565.93566,1999-03-11T03:19:29.879, 10026
322.26279,-14.20880,      63.62, 376189.94,  3394387.94,1,0, -25605565.83566,1999-03-11T03:19:29.979, 10026
322.26210,-14.21390,      63.02, 376188.33,  3394386.72,1,0, -25605565.73566,1999-03-11T03:19:30.079, 10026
